,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_b,Churn
0,0,1,0,0,1,1,2,1,1,1,1,0,1,0,29.85,29.85,1,0
1,0,0,0,1,1,2,1,2,1,1,1,1,0,1,56.95,1936.3000000000002,0,0
2,0,0,0,1,1,2,2,1,1,1,1,0,1,1,53.85,107.7,1,1
3,0,0,0,0,1,2,1,2,2,1,1,1,0,2,42.3,1903.4999999999998,0,0
4,0,0,0,1,2,1,1,1,1,1,1,0,1,0,70.7,141.4,1,1
5,0,0,0,2,2,1,1,2,1,2,2,0,1,0,99.65,797.2,1,1
6,0,0,1,2,2,1,2,1,1,2,1,0,1,3,89.1,1960.1999999999998,0,0
7,0,0,0,0,1,2,1,1,1,1,1,0,0,1,29.75,297.5,1,0
8,0,1,0,2,2,1,1,2,2,2,2,0,1,0,104.8,2934.4,0,1
9,0,0,1,1,1,2,2,1,1,1,1,1,0,2,56.15,3481.2999999999997,0,0
10,0,1,1,1,1,2,1,1,1,1,1,0,1,1,49.95,649.35,0,0
11,0,0,0,1,0,0,0,0,0,0,0,2,0,3,18.95,303.2,0,0
12,0,1,0,2,2,1,1,2,1,2,2,1,0,3,100.35,5820.299999999999,0,0
13,0,0,0,2,2,1,2,2,1,2,2,0,1,2,103.7,5081.3,0,1
14,0,0,0,1,2,2,1,2,2,2,2,0,1,0,105.5,2637.5,0,0
15,0,1,1,2,2,2,2,2,2,2,2,2,0,3,113.25,7814.25,0,0
16,0,0,0,1,0,0,0,0,0,0,0,1,0,1,20.65,1073.8,0,0
17,0,0,1,2,2,2,1,2,1,2,2,2,0,2,106.7,7575.7,0,0
18,0,1,1,1,1,1,1,2,2,1,1,0,0,3,55.2,552.0,1,1
19,0,0,0,1,2,1,2,2,1,1,2,0,1,0,90.05,1891.05,0,0
20,1,0,0,0,1,1,1,2,1,1,2,0,1,0,39.65,39.65,1,1
21,0,1,0,1,0,0,0,0,0,0,0,1,0,2,19.8,237.60000000000002,1,0
